"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c2\",\"14,8\",\"592\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c2\",\"7,7\",\"593\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"c2\",\"out\",\"600\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"c1\",\"in\",\"600\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c1\",\"83,0\",\"601\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"c1\",\"out\",\"601\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"b1\",\"in\",\"607\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"50,49\",\"607\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"47,49\",\"608\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"43,49\",\"609\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"40,48\",\"610\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"27,45\",\"614\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"24,45\",\"615\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"21,44\",\"616\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"17,43\",\"617\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"15,42\",\"618\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"13,42\",\"619\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"11,42\",\"620\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"8,41\",\"621\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"5,41\",\"622\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"4,40\",\"623\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"2,40\",\"624\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"b1\",\"out\",\"625\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"b0\",\"in\",\"631\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"95,37\",\"632\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"94,37\",\"632\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"92,37\",\"633\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"91,36\",\"634\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"90,36\",\"635\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"88,36\",\"636\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"87,36\",\"638\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"85,35\",\"639\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"84,35\",\"640\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"83,35\",\"642\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"82,35\",\"643\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"81,35\",\"644\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"79,35\",\"648\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"78,35\",\"650\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"78,34\",\"654\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"77,34\",\"655\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"78,34\",\"673\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"79,34\",\"675\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"80,34\",\"678\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"81,34\",\"681\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"82,34\",\"682\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"83,34\",\"684\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"84,34\",\"686\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"85,34\",\"688\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"86,34\",\"689\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"87,34\",\"691\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"89,34\",\"693\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"90,34\",\"695\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"91,34\",\"697\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"92,34\",\"699\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"93,34\",\"700\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"94,34\",\"701\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"95,34\",\"703\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"96,34\",\"704\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"97,34\",\"706\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"98,34\",\"708\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b0\",\"99,34\",\"709\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"b0\",\"out\",\"714\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"b1\",\"in\",\"724\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"0,33\",\"724\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"1,33\",\"726\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"4,33\",\"733\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"5,33\",\"735\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"6,33\",\"737\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"7,33\",\"738\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"8,33\",\"740\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"9,33\",\"742\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"10,33\",\"743\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"11,33\",\"746\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"12,33\",\"747\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"13,33\",\"748\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"14,33\",\"749\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"15,33\",\"751\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"16,33\",\"752\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"17,33\",\"753\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"18,33\",\"754\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"19,33\",\"756\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"20,33\",\"757\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"22,33\",\"758\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"23,33\",\"760\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"24,33\",\"761\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"25,33\",\"762\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"26,33\",\"763\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"27,33\",\"764\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"b1\",\"28,33\",\"765\","-1"
