"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""onload\",\"body\",\"body\",\"85\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""subject\",\"random\",\"0\",\"93\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""order\",\"col\",\"0_1_2_3_4\",\"93\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""order\",\"row\",\"0_1_2_3_4\",\"93\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""events\",\"open_close\",\"1_1\",\"93\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mouseover\",\"btn4\",\"Strategie 4\",\"537\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mouseout\",\"btn4\",\"Strategie 4\",\"541\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mouseover\",\"d4\",\"in\",\"549\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"89,30\",\"549\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"84,30\",\"551\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"83,29\",\"551\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"81,28\",\"552\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"79,27\",\"553\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"77,27\",\"554\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"75,27\",\"555\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"73,26\",\"556\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"71,25\",\"557\","-1"
"15","v2","","4_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:33",""mousemove\",\"d4\",\"70,25\",\"558\","-1"
