"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"44,43\",\"883\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"43,42\",\"884\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"42,41\",\"887\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"41,41\",\"890\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"40,41\",\"892\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"40,40\",\"893\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"39,40\",\"894\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"38,40\",\"896\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"37,39\",\"899\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"36,39\",\"901\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"36,38\",\"902\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"35,38\",\"904\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"34,38\",\"906\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"33,37\",\"907\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"32,37\",\"909\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"31,37\",\"911\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"30,36\",\"913\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"29,36\",\"915\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"28,36\",\"917\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"28,35\",\"918\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"27,35\",\"919\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"26,34\",\"920\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"25,34\",\"922\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"24,34\",\"924\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"24,33\",\"925\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"23,33\",\"927\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"22,33\",\"928\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"22,32\",\"929\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"21,32\",\"930\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"20,31\",\"931\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"19,31\",\"933\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"17,31\",\"935\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"16,30\",\"940\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"15,30\",\"940\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"14,29\",\"942\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"13,28\",\"943\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"12,28\",\"945\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"11,28\",\"947\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"10,28\",\"948\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"10,27\",\"949\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"9,27\",\"950\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"8,27\",\"951\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"d4\",\"7,27\",\"953\","-1"
