"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""onload\",\"body\",\"body\",\"69\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""subject\",\"random\",\"0\",\"79\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""order\",\"col\",\"0_1_2\",\"79\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""order\",\"row\",\"0_1_2\",\"79\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""events\",\"open_close\",\"1_1\",\"79\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mouseover\",\"a2\",\"0 ; 216\",\"306\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"19,0\",\"307\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"21,4\",\"314\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"22,6\",\"322\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"24,7\",\"329\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"25,9\",\"339\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"24,12\",\"481\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"16,16\",\"490\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"9,22\",\"497\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"2,28\",\"506\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mouseout\",\"a2\",\"out\",\"514\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mouseover\",\"a2\",\"\",\"570\","-1"
"24","","","3_3x3_2.php","","84.44.242.245","btn3","2014-10-06 13:42:45",""mousemove\",\"a2\",\"1,49\",\"570\","-1"
