"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""onload\",\"body\",\"body\",\"15\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""subject\",\"random\",\"1\",\"25\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""order\",\"col\",\"0_1\",\"25\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""order\",\"row\",\"1_0\",\"25\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""events\",\"open_close\",\"1_1\",\"25\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"17.43000030517578,49.279998779296875\",\"3707\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mouseover\",\"a1\",\"52 ; 84\",\"3714\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"14.429999351501464,44.279998779296875\",\"3726\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"12.429999351501464,38.279998779296875\",\"3730\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"11.429999351501464,35.279998779296875\",\"3738\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"10.429999351501464,33.279998779296875\",\"3747\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"9.429999351501464,32.279998779296875\",\"3758\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"9.429999351501464,31.279998779296875\",\"3769\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"7.429999828338623,30.279998779296875\",\"3781\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"7.429999828338623,28.279998779296875\",\"3791\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"7.429999828338623,29.279998779296875\",\"4218\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"6.429999828338623,31.279998779296875\",\"4230\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"5.429999828338623,32.279998779296875\",\"4241\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"5.429999828338623,36.279998779296875\",\"4251\","-1"
"1421","v3","","1_2x2_2_T.php","Luke","87.78.213.119","btn1","2014-11-02 15:35:50",""mousemove\",\"b1\",\"4.429999828338623,39.279998779296875\",\"4264\","-1"
