"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c2\",\"\",\"1569\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c1\",\"270 ; 0\",\"1569\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"99,43\",\"1570\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"98,43\",\"1584\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"97,43\",\"1590\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"96,43\",\"1622\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"95,43\",\"1630\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"93,42\",\"1638\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"90,41\",\"1646\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"86,40\",\"1654\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"80,39\",\"1662\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"74,37\",\"1670\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"53,32\",\"1712\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"49,31\",\"1718\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"44,30\",\"1726\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"38,28\",\"1734\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"35,27\",\"1742\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"33,27\",\"1750\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"31,27\",\"1758\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"29,27\",\"1766\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"28,27\",\"1782\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"22,27\",\"1860\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"20,27\",\"1863\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"17,27\",\"1870\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"15,27\",\"1878\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"14,27\",\"1886\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"12,27\",\"1894\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"10,27\",\"1902\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"6,27\",\"1910\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"3,27\",\"1918\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c1\",\"0,27\",\"1926\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseout\",\"c1\",\"out\",\"1935\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c1\",\"\",\"1943\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mouseover\",\"c0\",\"270 ; 0\",\"1944\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"97,26\",\"1945\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"95,26\",\"1951\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"93,25\",\"1959\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"91,25\",\"1968\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"83,25\",\"1987\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"70,24\",\"2010\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"66,24\",\"2015\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"63,23\",\"2024\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"61,23\",\"2030\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"59,23\",\"2038\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"57,23\",\"2046\","-1"
"23","","","2_3x3_2.php","","84.44.242.245","btn1","2014-10-06 13:42:38",""mousemove\",\"c0\",\"61,23\",\"2070\","-1"
