"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""onload\",\"body\",\"body\",\"85\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""subject\",\"random\",\"0\",\"99\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""order\",\"col\",\"0_1_2_3\",\"99\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""order\",\"row\",\"0_1_2_3\",\"100\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""events\",\"open_close\",\"1_1\",\"100\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"18,0.2800000011920929\",\"2425\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mouseover\",\"a0\",\"-168 ; -168\",\"2427\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"19,1.2799999713897705\",\"2434\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"21,3.2799999713897705\",\"2532\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"26,4.279999732971191\",\"2773\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"35,6.279999732971191\",\"2784\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"46,9.279999732971191\",\"2796\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"61,10.279999732971191\",\"2806\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"73,12.279999732971191\",\"2817\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"90,15.279999732971191\",\"2828\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"98,16.279998779296875\",\"2838\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mouseout\",\"a0\",\"out\",\"2851\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"3,17.279998779296875\",\"2865\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mouseover\",\"a0\",\"\",\"2866\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mouseover\",\"a1\",\"0 ; -504\",\"2867\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"7,17.279998779296875\",\"2872\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"11,17.279998779296875\",\"2882\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"14,17.279998779296875\",\"2894\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"16,17.279998779296875\",\"2904\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"18,17.279998779296875\",\"2915\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"19,17.279998779296875\",\"2948\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"17,17.279998779296875\",\"3254\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"16,17.279998779296875\",\"3265\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"14,17.279998779296875\",\"3276\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"10,17.279998779296875\",\"3287\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"8,17.279998779296875\",\"3298\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"5,17.279998779296875\",\"3309\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a1\",\"2,17.279998779296875\",\"3319\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mouseout\",\"a1\",\"out\",\"3331\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mousemove\",\"a0\",\"99,19.279998779296875\",\"3375\","-1"
"1430","v3","","2_4x4_2_T.php","Luke","87.78.213.119","btn2","2014-11-02 15:39:14",""mouseover\",\"a1\",\"\",\"3376\","-1"
