"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""onload\",\"body\",\"body\",\"70\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""subject\",\"random\",\"0\",\"90\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""order\",\"col\",\"0_1_2_3_4\",\"90\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""order\",\"row\",\"0_1_2_3_4\",\"90\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""events\",\"open_close\",\"1_1\",\"90\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"0,19.279998779296875\",\"2365\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mouseover\",\"a0\",\"0 ; 0\",\"2369\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"9,19.279998779296875\",\"2375\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"21,19.279998779296875\",\"2380\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"28,19.279998779296875\",\"2392\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"31,19.279998779296875\",\"2403\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"32,19.279998779296875\",\"2414\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"34,19.279998779296875\",\"2501\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"38,20.279998779296875\",\"2763\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"46,21.279998779296875\",\"2775\","-1"
"1434","v3","","2_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:24",""mousemove\",\"a0\",\"60,22.279998779296875\",\"2785\","-1"
