"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"b0\",\"43 ; 87\",\"4063\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"93.80999755859375,30.279998779296875\",\"4071\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"91.80999755859375,30.279998779296875\",\"4079\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"89.80999755859375,30.279998779296875\",\"4091\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"86.80999755859375,30.279998779296875\",\"4102\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"83.80999755859375,30.279998779296875\",\"4112\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"80.80999755859375,30.279998779296875\",\"4124\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"77.80999755859375,30.279998779296875\",\"4134\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"75.80999755859375,30.279998779296875\",\"4145\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"74.80999755859375,29.279998779296875\",\"4156\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"75.80999755859375,30.279998779296875\",\"4332\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"75.80999755859375,32.279998779296875\",\"4365\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"76.80999755859375,32.279998779296875\",\"4382\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a0\",\"76.80999755859375,33.279998779296875\",\"4405\","-1"
